id,text_id,textsize,treesize,constr_time,peak_mem,access_avg,constr_time_rs,treesize_rs,rank_avg,select_avg,s,t,l,result
8,/workspace/dmeyer/data/dblp.xml,33554432,27187118,5192,805306368,61.487,13247,129712206,75.5981,915.385,1,8,8,16808480894261
1,/workspace/dmeyer/data/dblp.xml,33554432,27195443,6531,805306368,85.9977,14261,69593651,102.589,611.127,1,8,8,16808480894261
2,/workspace/dmeyer/data/dblp.xml,33554432,27195443,4823,805306368,84.4635,12524,69593651,101.601,616.986,1,8,8,16808480894261
4,/workspace/dmeyer/data/dblp.xml,33554432,27187110,5452,805306368,58.9549,13474,129712198,77.7802,920.61,1,8,8,16808480894261
5,/workspace/dmeyer/data/dblp.xml,33554432,27187110,5093,805306368,58.9177,13114,129712198,77.1979,947.307,1,8,8,16808480894261
7,/workspace/dmeyer/data/dblp.xml,33554432,33582326,4939,805306368,61.543,11293,132950150,68.1653,895.644,1,8,8,16808480894261
6,/workspace/dmeyer/data/dblp.xml,33554432,33582326,5177,805306368,62.1094,11530,132950150,68.1992,895.254,1,8,8,16808480894261
0,/workspace/dmeyer/data/dblp.xml,33554432,23865572,31778,47376324,105.386,212139,66263780,133.537,795.059,1,8,8,16808474592024
9,/workspace/dmeyer/data/dblp.xml,33554432,27195443,27544,805306368,86.0429,35078,69593651,101.958,622.231,1,8,8,16808480894261
10,/workspace/dmeyer/data/dblp.xml,33554432,27187110,12240,805306368,61.6672,20081,129712198,76.7149,922.104,1342312,8,8,16808480894261
12,/workspace/dmeyer/data/dblp.xml,33554432,33582326,15682,805306368,61.8751,21866,132950150,68.1647,869.575,1,8,8,16808480894261
11,/workspace/dmeyer/data/dblp.xml,33554432,33582326,9556,805306368,61.896,15742,132950150,68.204,867.951,1342312,8,8,16808480894261
8,/workspace/dmeyer/data/dblp.xml,33554432,14330687,5401,805306368,141.469,64176,307564079,131.371,1241.72,1,8,4,16808480894261
1,/workspace/dmeyer/data/dblp.xml,33554432,14372798,7144,805306368,166.218,66053,248711158,158.861,911.989,1,8,4,16808480894261
2,/workspace/dmeyer/data/dblp.xml,33554432,14372798,6925,805306368,161.207,65862,248711158,156.932,931.595,1,8,4,16808480894261
4,/workspace/dmeyer/data/dblp.xml,33554432,14364426,5815,805306368,137.848,64917,308831122,134.744,1229.19,1,8,4,16808480894261
5,/workspace/dmeyer/data/dblp.xml,33554432,14364426,6713,805306368,138.162,65792,308831122,132.083,1228.14,1,8,4,16808480894261
7,/workspace/dmeyer/data/dblp.xml,33554432,21225758,5258,805306368,134.385,64699,339085238,119.045,1140.9,1,8,4,16808480894261
6,/workspace/dmeyer/data/dblp.xml,33554432,21225758,5187,805306368,132.242,64615,339085238,117.138,1138.98,1,8,4,16808480894261
0,/workspace/dmeyer/data/dblp.xml,33554432,18249732,34212,71449212,102.378,294201,252588092,136.113,917.859,1,8,4,16808474592024
9,/workspace/dmeyer/data/dblp.xml,33554432,14372798,35638,805306368,131.841,94750,248711158,158.487,904.427,1,8,4,16808480894261
10,/workspace/dmeyer/data/dblp.xml,33554432,14364426,20313,805306368,119.585,79584,308831122,134.693,1226.96,1342312,8,4,16808480894261
12,/workspace/dmeyer/data/dblp.xml,33554432,21225766,23858,805306368,134.36,83296,339085246,118.545,1148.56,1,8,4,16808480894261
11,/workspace/dmeyer/data/dblp.xml,33554432,21225766,17686,805306368,129.57,77151,339085246,116.499,1150.04,1342312,8,4,16808480894261
8,/workspace/dmeyer/data/dblp.xml,33554432,14575379,4761,805306368,115.124,35138,208875843,123.648,1203.59,1,4,8,16808480894261
1,/workspace/dmeyer/data/dblp.xml,33554432,14564550,7005,805306368,122.373,38004,159238550,151.101,936.181,1,4,8,16808480894261
2,/workspace/dmeyer/data/dblp.xml,33554432,14564550,5197,805306368,121.934,36183,159238550,149.594,933.906,1,4,8,16808480894261
4,/workspace/dmeyer/data/dblp.xml,33554432,14548140,5170,805306368,101.391,35776,209753612,126.976,1205.27,1,4,8,16808480894261
5,/workspace/dmeyer/data/dblp.xml,33554432,14548140,5083,805306368,101.594,35684,209753612,124.364,1195.14,1,4,8,16808480894261
7,/workspace/dmeyer/data/dblp.xml,33554432,24753067,4463,805306368,99.2403,30662,221356939,106.212,1069.67,1,4,8,16808480894261
6,/workspace/dmeyer/data/dblp.xml,33554432,24753067,4460,805306368,99.9264,30670,221356939,105.076,1074.26,1,4,8,16808480894261
0,/workspace/dmeyer/data/dblp.xml,33554432,18170981,45368,44821164,123.406,225145,162844981,179.385,936.716,1,4,8,16808474592024
9,/workspace/dmeyer/data/dblp.xml,33554432,14564550,46767,805306368,138.037,77681,159238550,148.539,942.197,1,4,8,16808480894261
10,/workspace/dmeyer/data/dblp.xml,33554432,14548140,21116,805306368,105.059,51747,209753612,124.16,1183.93,1342312,4,8,16808480894261
12,/workspace/dmeyer/data/dblp.xml,33554432,24753067,27868,805306368,110.223,54059,221356939,105.746,1078.52,1,4,8,16808480894261
11,/workspace/dmeyer/data/dblp.xml,33554432,24753067,16269,805306368,100.573,42472,221356939,104.627,1054.05,1342312,4,8,16808480894261
8,/workspace/dmeyer/data/dblp.xml,33554432,14575379,4759,805306368,103.539,35155,208875843,123.215,1171.07,1,4,4,16808480894261
1,/workspace/dmeyer/data/dblp.xml,33554432,14564550,6919,805306368,127.964,37898,159238550,149.884,927.793,1,4,4,16808480894261
2,/workspace/dmeyer/data/dblp.xml,33554432,14564550,5180,805306368,121.329,36166,159238550,148.956,936.603,1,4,4,16808480894261
4,/workspace/dmeyer/data/dblp.xml,33554432,14548140,5266,805306368,102.005,35894,209753612,126.457,1171.12,1,4,4,16808480894261
5,/workspace/dmeyer/data/dblp.xml,33554432,14548140,5092,805306368,102.465,35705,209753612,123.965,1169.98,1,4,4,16808480894261
7,/workspace/dmeyer/data/dblp.xml,33554432,24753067,4444,805306368,99.7193,30646,221356939,106.074,1040.1,1,4,4,16808480894261
6,/workspace/dmeyer/data/dblp.xml,33554432,24753067,4459,805306368,100.938,30674,221356939,104.942,1043.63,1,4,4,16808480894261
0,/workspace/dmeyer/data/dblp.xml,33554432,13289645,51405,60986916,131.571,369885,157963645,188.47,1078.55,1,4,4,16808474592024
9,/workspace/dmeyer/data/dblp.xml,33554432,14564550,46684,805306368,128.135,77747,159238550,149.713,940.665,1,4,4,16808480894261
10,/workspace/dmeyer/data/dblp.xml,33554432,14548140,21122,805306368,109.906,51756,209753612,124.801,1191.89,1342312,4,4,16808480894261
