id,text_id,textsize,treesize,constr_time,peak_mem,access_avg,constr_time_rs,treesize_rs,rank_avg,select_avg,s,t,l,result
8,/workspace/dmeyer/data/world_leaders,46968181,10988385,5479,1127236344,70.52,8265,28347309,145.026,544.299,1,16,16,25061325100118
1,/workspace/dmeyer/data/world_leaders,46968181,10978784,6027,1127236344,85.9147,8777,27676150,165.709,531.049,1,16,16,25061325100118
2,/workspace/dmeyer/data/world_leaders,46968181,10978784,5483,1127236344,86.1329,8224,27676150,167.263,530.43,1,16,16,25061325100118
4,/workspace/dmeyer/data/world_leaders,46968181,10980845,5666,1127236344,70.6553,8408,28423737,147.302,552.001,1,16,16,25061325100118
5,/workspace/dmeyer/data/world_leaders,46968181,10980845,5578,1127236344,70.4101,8318,28423737,148.635,551.962,1,16,16,25061325100118
7,/workspace/dmeyer/data/world_leaders,46968181,16854106,5525,1127236344,85.3455,8347,34555272,160.315,538.429,1,16,16,25061325100118
6,/workspace/dmeyer/data/world_leaders,46968181,16854231,5529,1127236344,72.5066,8348,35283739,142.177,559.393,1,16,16,25061325100118
0,/workspace/dmeyer/data/world_leaders,46968181,9659829,22087,9884148,116.151,72360,26357195,191.063,559.643,1,16,16,25061291447346
9,/workspace/dmeyer/data/world_leaders,46968181,10978784,20328,1127236344,82.6377,23062,27676150,166.804,532.917,1,16,16,25061325100118
10,/workspace/dmeyer/data/world_leaders,46968181,10980845,14142,1127236344,70.5366,16887,28423737,145.864,550.914,175740,16,16,25061325100118
12,/workspace/dmeyer/data/world_leaders,46968181,16854106,14668,1127236344,84.3674,17480,34555272,159.313,539.844,1,16,16,25061325100118
11,/workspace/dmeyer/data/world_leaders,46968181,16854231,12925,1127236344,72.4603,15749,35283739,141.021,560.133,175740,16,16,25061325100118
8,/workspace/dmeyer/data/world_leaders,46968181,3659296,5317,1127236344,119.984,21019,66770774,211.303,572.656,1,16,8,25061325100118
1,/workspace/dmeyer/data/world_leaders,46968181,3663327,6197,1127236344,138.127,21864,66185631,232.061,561.255,1,16,8,25061325100118
2,/workspace/dmeyer/data/world_leaders,46968181,3663327,5762,1127236344,135.617,21415,66185631,231.532,555.243,1,16,8,25061325100118
4,/workspace/dmeyer/data/world_leaders,46968181,3664136,5615,1127236344,121.664,21323,66939118,205.532,581.999,1,16,8,25061325100118
5,/workspace/dmeyer/data/world_leaders,46968181,3664136,5650,1127236344,119.493,21375,66939118,214.272,580.727,1,16,8,25061325100118
7,/workspace/dmeyer/data/world_leaders,46968181,5461215,5414,1127236344,137.057,26508,94396751,226.009,582.575,1,16,8,25061325100118
6,/workspace/dmeyer/data/world_leaders,46968181,5461340,5386,1127236344,122.787,26572,95125218,207.313,610.255,1,16,8,25061325100118
0,/workspace/dmeyer/data/world_leaders,46968181,6624677,22996,13425732,120.256,89381,69146981,188.526,596.119,1,16,8,25061291447346
9,/workspace/dmeyer/data/world_leaders,46968181,3663327,23648,1127236344,131.913,39308,66185631,232.368,559.018,1,16,8,25061325100118
10,/workspace/dmeyer/data/world_leaders,46968181,3664136,17429,1127236344,121.679,33181,66939118,210.529,584.279,175740,16,8,25061325100118
12,/workspace/dmeyer/data/world_leaders,46968181,5461215,18123,1127236344,133.094,39219,94396751,220.789,585.962,1,16,8,25061325100118
11,/workspace/dmeyer/data/world_leaders,46968181,5461340,16367,1127236344,123.632,37550,95125218,200.333,622.942,175740,16,8,25061325100118
8,/workspace/dmeyer/data/world_leaders,46968181,3659296,5308,1127236344,121.482,21027,66770774,208.165,580.93,1,16,4,25061325100118
1,/workspace/dmeyer/data/world_leaders,46968181,3663327,5992,1127236344,138.695,21642,66185631,230.007,561.774,1,16,4,25061325100118
2,/workspace/dmeyer/data/world_leaders,46968181,3663327,5912,1127236344,136.145,21578,66185631,230.282,556.412,1,16,4,25061325100118
4,/workspace/dmeyer/data/world_leaders,46968181,3664136,5652,1127236344,121.558,21388,66939118,209.023,589.302,1,16,4,25061325100118
5,/workspace/dmeyer/data/world_leaders,46968181,3664136,5640,1127236344,120.301,21372,66939118,211.475,585.599,1,16,4,25061325100118
7,/workspace/dmeyer/data/world_leaders,46968181,5461215,5386,1127236344,134.185,26437,94396751,220.852,583.971,1,16,4,25061325100118
6,/workspace/dmeyer/data/world_leaders,46968181,5461340,5392,1127236344,121.169,26577,95125218,202.986,607.655,1,16,4,25061325100118
0,/workspace/dmeyer/data/world_leaders,46968181,4635598,23197,17138160,147.725,114380,67157902,221.385,631.096,1,16,4,25061291447346
9,/workspace/dmeyer/data/world_leaders,46968181,3663327,23612,1127236344,132.442,39239,66185631,226.084,554.285,1,16,4,25061325100118
10,/workspace/dmeyer/data/world_leaders,46968181,3664136,17365,1127236344,120.704,33088,66939118,209.48,585.28,175740,16,4,25061325100118
12,/workspace/dmeyer/data/world_leaders,46968181,5461215,18106,1127236344,131.752,39194,94396751,222.883,583.998,1,16,4,25061325100118
11,/workspace/dmeyer/data/world_leaders,46968181,5461340,16280,1127236344,127.045,37469,95125218,201.779,619.146,175740,16,4,25061325100118
8,/workspace/dmeyer/data/world_leaders,46968181,4781228,5122,1127236344,90.0348,12058,43324912,148.365,596.739,1,8,16,25061325100118
1,/workspace/dmeyer/data/world_leaders,46968181,4685140,5869,1127236344,137.263,12104,32818742,222.196,523.958,1,8,16,25061325100118
2,/workspace/dmeyer/data/world_leaders,46968181,4685140,5246,1127236344,134.769,11482,32818742,221.645,522.021,1,8,16,25061325100118
4,/workspace/dmeyer/data/world_leaders,46968181,4777497,5335,1127236344,91.614,12292,43426525,148.635,598.72,1,8,16,25061325100118
5,/workspace/dmeyer/data/world_leaders,46968181,4777497,5202,1127236344,91.0402,12161,43426525,149.935,601.594,1,8,16,25061325100118
7,/workspace/dmeyer/data/world_leaders,46968181,7610733,5176,1127236344,117.853,13326,46751125,186.64,538.084,1,8,16,25061325100118
6,/workspace/dmeyer/data/world_leaders,46968181,7633029,5495,1127236344,86.3482,13974,55431017,142.035,621.41,1,8,16,25061325100118
0,/workspace/dmeyer/data/world_leaders,46968181,6289950,27457,7671684,145.12,67884,34423552,232.828,567.431,1,8,16,25061291447346
9,/workspace/dmeyer/data/world_leaders,46968181,4685140,28313,1127236344,130.678,34553,32818742,221.065,523.563,1,8,16,25061325100118
10,/workspace/dmeyer/data/world_leaders,46968181,4777497,12936,1127236344,90.4187,19889,43426525,150.288,601.404,175740,8,16,25061325100118
12,/workspace/dmeyer/data/world_leaders,46968181,7610733,20505,1127236344,115.756,28661,46751125,194.207,542.782,1,8,16,25061325100118
11,/workspace/dmeyer/data/world_leaders,46968181,7633029,12168,1127236344,86.832,20638,55431017,143.186,620.095,175740,8,16,25061325100118
8,/workspace/dmeyer/data/world_leaders,46968181,4781228,5146,1127236344,90.0082,12087,43324912,148.357,592.632,1,8,8,25061325100118
1,/workspace/dmeyer/data/world_leaders,46968181,4685140,6049,1127236344,137.287,12296,32818742,221.393,523.918,1,8,8,25061325100118
2,/workspace/dmeyer/data/world_leaders,46968181,4685140,5262,1127236344,135.193,11499,32818742,223.114,522.753,1,8,8,25061325100118
4,/workspace/dmeyer/data/world_leaders,46968181,4777497,5347,1127236344,91.4184,12324,43426525,150.017,602.284,1,8,8,25061325100118
5,/workspace/dmeyer/data/world_leaders,46968181,4777497,5227,1127236344,90.8424,12202,43426525,151.091,601.282,1,8,8,25061325100118
7,/workspace/dmeyer/data/world_leaders,46968181,7610733,5202,1127236344,118.54,13368,46751125,191.425,537.725,1,8,8,25061325100118
6,/workspace/dmeyer/data/world_leaders,46968181,7633029,5243,1127236344,86.808,13739,55431017,144.224,611.459,1,8,8,25061325100118
0,/workspace/dmeyer/data/world_leaders,46968181,4203551,28333,9906528,173.184,87899,32337153,265.335,603.172,1,8,8,25061291447346
9,/workspace/dmeyer/data/world_leaders,46968181,4685140,28195,1127236344,130.231,34432,32818742,223.552,521.686,1,8,8,25061325100118
10,/workspace/dmeyer/data/world_leaders,46968181,4777497,12800,1127236344,91.3073,19758,43426525,150.678,607.717,175740,8,8,25061325100118
