id,text_id,textsize,treesize,constr_time,peak_mem,access_avg,constr_time_rs,treesize_rs,rank_avg,select_avg,s,t,l,result
13,/workspace/dmeyer/data/world_leaders,46968181,0,1447,0,741.322,1447,0,679.273,1194.18,1,1,0,25036095558817
13,/workspace/dmeyer/data/world_leaders,46968181,0,1445,0,838.722,1445,0,662.153,1220.13,1,2,0,25036095558817
8,/workspace/dmeyer/data/world_leaders,46968181,10988385,5265,1127236344,54.4951,7417,28347309,116.739,445.059,1,16,16,25036095558817
1,/workspace/dmeyer/data/world_leaders,46968181,10978784,5731,1127236344,69.8581,7861,27676150,133.303,424.76,1,16,16,25036095558817
4,/workspace/dmeyer/data/world_leaders,46968181,10980845,5451,1127236344,54.2154,7566,28423737,117.705,440.624,1,16,16,25036095558817
5,/workspace/dmeyer/data/world_leaders,46968181,10980845,5244,1127236344,54.2578,7359,28423737,117.661,441.898,1,16,16,25036095558817
7,/workspace/dmeyer/data/world_leaders,46968181,16854106,5284,1127236344,68.176,7489,34555272,129.633,436.561,1,16,16,25036095558817
6,/workspace/dmeyer/data/world_leaders,46968181,16854231,5321,1127236344,56.0666,7505,35283739,111.903,453.616,1,16,16,25036095558817
0,/workspace/dmeyer/data/world_leaders,46968181,9659829,17114,9884148,90.0532,89068,62667848,149.211,440.091,1,16,16,25036049499010
9,/workspace/dmeyer/data/world_leaders,46968181,10978784,15723,1127236344,63.4155,17824,27676150,131.644,426.037,1,16,16,25036095558817
12,/workspace/dmeyer/data/world_leaders,46968181,16854106,11315,1127236344,65.5374,13520,34555272,126.192,438.771,1,16,16,25036095558817
8,/workspace/dmeyer/data/world_leaders,46968181,3659296,5207,1127236344,93.8724,17405,66770774,162.993,471.23,1,16,8,25036095558817
1,/workspace/dmeyer/data/world_leaders,46968181,3663327,5798,1127236344,107.928,18032,66185631,179.887,450.213,1,16,8,25036095558817
4,/workspace/dmeyer/data/world_leaders,46968181,3664136,5548,1127236344,94.5427,17786,66939118,161.582,474.047,1,16,8,25036095558817
5,/workspace/dmeyer/data/world_leaders,46968181,3664136,5488,1127236344,93.4656,17731,66939118,162.237,476.089,1,16,8,25036095558817
7,/workspace/dmeyer/data/world_leaders,46968181,5461215,5266,1127236344,108.283,21818,94396751,180.713,466.723,1,16,8,25036095558817
6,/workspace/dmeyer/data/world_leaders,46968181,5461340,5333,1127236344,96.6185,21862,95125218,159.212,495.313,1,16,8,25036095558817
0,/workspace/dmeyer/data/world_leaders,46968181,6624677,18088,13425732,93.6755,117567,75097592,145.729,464.213,1,16,8,25036049499010
9,/workspace/dmeyer/data/world_leaders,46968181,3663327,18274,1127236344,102.779,30485,66185631,175.313,449.494,1,16,8,25036095558817
12,/workspace/dmeyer/data/world_leaders,46968181,5461215,14055,1127236344,103.684,30610,94396751,176.916,467.947,1,16,8,25036095558817
8,/workspace/dmeyer/data/world_leaders,46968181,3659296,5220,1127236344,93.6565,17399,66770774,161.747,475.532,1,16,4,25036095558817
1,/workspace/dmeyer/data/world_leaders,46968181,3663327,5833,1127236344,108.355,18061,66185631,179.899,448.392,1,16,4,25036095558817
4,/workspace/dmeyer/data/world_leaders,46968181,3664136,5513,1127236344,94.1973,17739,66939118,161.239,477.574,1,16,4,25036095558817
5,/workspace/dmeyer/data/world_leaders,46968181,3664136,5502,1127236344,92.6636,17784,66939118,165.699,461.241,1,16,4,25036095558817
7,/workspace/dmeyer/data/world_leaders,46968181,5461215,5378,1127236344,108.177,21917,94396751,178.427,463.434,1,16,4,25036095558817
6,/workspace/dmeyer/data/world_leaders,46968181,5461340,5378,1127236344,97.0908,21913,95125218,157.545,491.411,1,16,4,25036095558817
0,/workspace/dmeyer/data/world_leaders,46968181,4635598,18307,17138160,114.513,151427,87999980,172.467,506.15,1,16,4,25036049499010
9,/workspace/dmeyer/data/world_leaders,46968181,3663327,18337,1127236344,102.152,30545,66185631,174.528,448.756,1,16,4,25036095558817
12,/workspace/dmeyer/data/world_leaders,46968181,5461215,14117,1127236344,101.969,30676,94396751,179.402,469.267,1,16,4,25036095558817
8,/workspace/dmeyer/data/world_leaders,46968181,4781228,5271,1127236344,69.9096,10593,43324912,118.049,492.22,1,8,16,25036095558817
1,/workspace/dmeyer/data/world_leaders,46968181,4685140,5733,1127236344,107.126,10695,32818742,173.676,411.131,1,8,16,25036095558817
4,/workspace/dmeyer/data/world_leaders,46968181,4777497,5276,1127236344,69.5691,10611,43426525,117.289,482.195,1,8,16,25036095558817
5,/workspace/dmeyer/data/world_leaders,46968181,4777497,5122,1127236344,69.6938,10455,43426525,116.825,481.557,1,8,16,25036095558817
7,/workspace/dmeyer/data/world_leaders,46968181,7610733,5147,1127236344,91.8779,11488,46751125,149.73,427.076,1,8,16,25036095558817
6,/workspace/dmeyer/data/world_leaders,46968181,7633029,5111,1127236344,66.9402,11592,55431017,109.01,496.526,1,8,16,25036095558817
0,/workspace/dmeyer/data/world_leaders,46968181,6289950,21362,7671684,112.173,82078,49076436,183.004,446.846,1,8,16,25036049499010
9,/workspace/dmeyer/data/world_leaders,46968181,4685140,22027,1127236344,101.474,26975,32818742,170.141,412.036,1,8,16,25036095558817
12,/workspace/dmeyer/data/world_leaders,46968181,7610733,15912,1127236344,88.8578,22244,46751125,146.936,429.668,1,8,16,25036095558817
8,/workspace/dmeyer/data/world_leaders,46968181,4781228,5078,1127236344,69.6337,10391,43324912,117.537,475.084,1,8,8,25036095558817
1,/workspace/dmeyer/data/world_leaders,46968181,4685140,5734,1127236344,106.606,10688,32818742,173.726,410.85,1,8,8,25036095558817
4,/workspace/dmeyer/data/world_leaders,46968181,4777497,5383,1127236344,69.9278,10708,43426525,117.057,476.512,1,8,8,25036095558817
5,/workspace/dmeyer/data/world_leaders,46968181,4777497,5291,1127236344,69.7389,10613,43426525,116.553,476.166,1,8,8,25036095558817
7,/workspace/dmeyer/data/world_leaders,46968181,7610733,5136,1127236344,91.8843,11473,46751125,150.945,427.062,1,8,8,25036095558817
6,/workspace/dmeyer/data/world_leaders,46968181,7633029,5126,1127236344,66.9969,11606,55431017,109.431,497.27,1,8,8,25036095558817
0,/workspace/dmeyer/data/world_leaders,46968181,4203551,22058,9906528,133.919,108156,57542536,207.133,485.715,1,8,8,25036049499010
9,/workspace/dmeyer/data/world_leaders,46968181,4685140,22037,1127236344,100.843,26995,32818742,169.751,416.07,1,8,8,25036095558817
12,/workspace/dmeyer/data/world_leaders,46968181,7610733,15958,1127236344,88.6662,22327,46751125,150.161,430.947,1,8,8,25036095558817
8,/workspace/dmeyer/data/world_leaders,46968181,2746814,5180,1127236344,105.382,17640,67088380,178.606,602.003,1,8,4,25036095558817
1,/workspace/dmeyer/data/world_leaders,46968181,2671719,6046,1127236344,141.837,18397,56583939,238.864,513.816,1,8,4,25036095558817
4,/workspace/dmeyer/data/world_leaders,46968181,2752227,5472,1127236344,104.053,17972,67304977,178.892,591.652,1,8,4,25036095558817
5,/workspace/dmeyer/data/world_leaders,46968181,2752227,5478,1127236344,104.302,17978,67304977,178.428,597.454,1,8,4,25036095558817
7,/workspace/dmeyer/data/world_leaders,46968181,4366880,5319,1127236344,128.602,22816,86135594,215.996,533.29,1,8,4,25036095558817
6,/workspace/dmeyer/data/world_leaders,46968181,4389176,5274,1127236344,104.753,22453,94815486,174.79,607.905,1,8,4,25036095558817
0,/workspace/dmeyer/data/world_leaders,46968181,3224623,22611,12953232,140.493,140674,67475984,212.615,522.657,1,8,4,25036049499010
9,/workspace/dmeyer/data/world_leaders,46968181,2671719,24042,1127236344,133.728,36347,56583939,240.832,519.529,1,8,4,25036095558817
12,/workspace/dmeyer/data/world_leaders,46968181,4366880,17992,1127236344,130.352,35518,86135594,213.156,547.286,1,8,4,25036095558817
8,/workspace/dmeyer/data/world_leaders,46968181,4319601,5110,1127236344,91.9363,8866,31766431,139.505,468.884,1,4,16,25036095558817
1,/workspace/dmeyer/data/world_leaders,46968181,4265864,5893,1127236344,137.755,9663,27362422,214.296,462.806,1,4,16,25036095558817
4,/workspace/dmeyer/data/world_leaders,46968181,4300740,5354,1127236344,90.7544,9139,31971978,140.441,471.89,1,4,16,25036095558817
5,/workspace/dmeyer/data/world_leaders,46968181,4300740,5149,1127236344,90.4747,8934,31971978,139.952,472.256,1,4,16,25036095558817
7,/workspace/dmeyer/data/world_leaders,46968181,7322227,5134,1127236344,114.047,10071,40304159,190.552,470.907,1,4,16,25036095558817
6,/workspace/dmeyer/data/world_leaders,46968181,7330687,5127,1127236344,81.9169,9830,43927173,130.355,486.279,1,4,16,25036095558817
0,/workspace/dmeyer/data/world_leaders,46968181,3810689,30059,6369024,172.708,91461,40129664,275.474,522.466,1,4,16,25036049499010
9,/workspace/dmeyer/data/world_leaders,46968181,4265864,30820,1127236344,129.61,34596,27362422,212.509,461.835,1,4,16,25036095558817
12,/workspace/dmeyer/data/world_leaders,46968181,7322227,21947,1127236344,109.843,26844,40304159,183.044,470.493,1,4,16,25036095558817
8,/workspace/dmeyer/data/world_leaders,46968181,2344041,5099,1127236344,120.248,12598,41738249,192.54,553.607,1,4,8,25036095558817
1,/workspace/dmeyer/data/world_leaders,46968181,2310028,5981,1127236344,167.229,13636,37429004,269.362,541.835,1,4,8,25036095558817
4,/workspace/dmeyer/data/world_leaders,46968181,2342033,5628,1127236344,120.659,13205,42044369,191.757,558.877,1,4,8,25036095558817
5,/workspace/dmeyer/data/world_leaders,46968181,2342033,5486,1127236344,119.121,13063,42044369,191.953,557.272,1,4,8,25036095558817
7,/workspace/dmeyer/data/world_leaders,46968181,3888640,5192,1127236344,143.873,16264,57944030,248.589,547.726,1,4,8,25036095558817
6,/workspace/dmeyer/data/world_leaders,46968181,3897100,5176,1127236344,111.097,15728,61567044,185.257,575.105,1,4,8,25036095558817
