id,text_id,textsize,treesize,constr_time,peak_mem,access_avg,constr_time_rs,treesize_rs,rank_avg,select_avg,s,t,l,result
13,/workspace/dmeyer/data/world_leaders,46968181,0,911,0,818.209,911,0,723.662,1370.43,1,1,0,25036252518864
13,/workspace/dmeyer/data/world_leaders,46968181,0,907,0,881.061,907,0,679.038,1383.57,1,2,0,25036252518864
8,/workspace/dmeyer/data/world_leaders,46968181,10988385,5336,1127236344,70.2088,8096,28347309,149.237,567.693,1,16,16,25036252518864
1,/workspace/dmeyer/data/world_leaders,46968181,10978784,5863,1127236344,89.5601,8592,27676150,169.025,542.034,1,16,16,25036252518864
4,/workspace/dmeyer/data/world_leaders,46968181,10980845,5519,1127236344,69.6814,8235,28423737,150.567,560.523,1,16,16,25036252518864
5,/workspace/dmeyer/data/world_leaders,46968181,10980845,5361,1127236344,69.5938,8074,28423737,150.922,562.001,1,16,16,25036252518864
7,/workspace/dmeyer/data/world_leaders,46968181,16854106,5378,1127236344,85.4453,8177,34555272,164.943,551.607,1,16,16,25036252518864
6,/workspace/dmeyer/data/world_leaders,46968181,16854231,5379,1127236344,70.8392,8168,35283739,143.105,571.731,1,16,16,25036252518864
0,/workspace/dmeyer/data/world_leaders,46968181,9659829,21840,9884148,115.414,102184,62667848,190.602,558.075,1,16,16,25036204561170
9,/workspace/dmeyer/data/world_leaders,46968181,10978784,20281,1127236344,81.3828,22975,27676150,167.791,545.807,1,16,16,25036252518864
12,/workspace/dmeyer/data/world_leaders,46968181,16854106,14572,1127236344,82.8157,17407,34555272,160.544,557.33,1,16,16,25036252518864
8,/workspace/dmeyer/data/world_leaders,46968181,3659296,5313,1127236344,120.55,20948,66770774,206.284,585.782,1,16,8,25036252518864
1,/workspace/dmeyer/data/world_leaders,46968181,3663327,5936,1127236344,139.331,21603,66185631,228.653,562.127,1,16,8,25036252518864
4,/workspace/dmeyer/data/world_leaders,46968181,3664136,5607,1127236344,120.755,21303,66939118,206,587.07,1,16,8,25036252518864
5,/workspace/dmeyer/data/world_leaders,46968181,3664136,5642,1127236344,119.972,21340,66939118,207.007,593.153,1,16,8,25036252518864
7,/workspace/dmeyer/data/world_leaders,46968181,5461215,5391,1127236344,138.181,26593,94396751,231.249,577.071,1,16,8,25036252518864
6,/workspace/dmeyer/data/world_leaders,46968181,5461340,5393,1127236344,122.529,26586,95125218,201.54,607.922,1,16,8,25036252518864
0,/workspace/dmeyer/data/world_leaders,46968181,6624677,22867,13425732,120.381,131772,75097592,188.726,591.716,1,16,8,25036204561170
9,/workspace/dmeyer/data/world_leaders,46968181,3663327,23470,1127236344,131.5,39169,66185631,224.64,563.732,1,16,8,25036252518864
12,/workspace/dmeyer/data/world_leaders,46968181,5461215,18003,1127236344,132.501,39258,94396751,225.925,585.513,1,16,8,25036252518864
8,/workspace/dmeyer/data/world_leaders,46968181,3659296,5295,1127236344,123.187,20936,66770774,210.918,594.066,1,16,4,25036252518864
1,/workspace/dmeyer/data/world_leaders,46968181,3663327,5846,1127236344,138.924,21540,66185631,228.018,560.294,1,16,4,25036252518864
4,/workspace/dmeyer/data/world_leaders,46968181,3664136,5565,1127236344,121.03,21266,66939118,204.936,598.107,1,16,4,25036252518864
5,/workspace/dmeyer/data/world_leaders,46968181,3664136,5612,1127236344,119.938,21359,66939118,209.406,583.814,1,16,4,25036252518864
7,/workspace/dmeyer/data/world_leaders,46968181,5461215,5291,1127236344,136.367,26476,94396751,225.772,576.861,1,16,4,25036252518864
6,/workspace/dmeyer/data/world_leaders,46968181,5461340,5287,1127236344,123.712,26551,95125218,199.126,611.309,1,16,4,25036252518864
0,/workspace/dmeyer/data/world_leaders,46968181,4635598,23076,17138160,147.582,170042,87999980,221.92,633.174,1,16,4,25036204561170
9,/workspace/dmeyer/data/world_leaders,46968181,3663327,23537,1127236344,131.158,39191,66185631,222.579,562.646,1,16,4,25036252518864
12,/workspace/dmeyer/data/world_leaders,46968181,5461215,17957,1127236344,130.299,39135,94396751,226.052,581.85,1,16,4,25036252518864
8,/workspace/dmeyer/data/world_leaders,46968181,4781228,5074,1127236344,89.9144,11953,43324912,151.064,611.457,1,8,16,25036252518864
1,/workspace/dmeyer/data/world_leaders,46968181,4685140,5779,1127236344,137.718,12145,32818742,221.516,525.077,1,8,16,25036252518864
4,/workspace/dmeyer/data/world_leaders,46968181,4777497,5476,1127236344,89.8292,12324,43426525,149.921,606.582,1,8,16,25036252518864
5,/workspace/dmeyer/data/world_leaders,46968181,4777497,5154,1127236344,89.8348,12002,43426525,149.757,606.123,1,8,16,25036252518864
7,/workspace/dmeyer/data/world_leaders,46968181,7610733,5137,1127236344,117.631,13270,46751125,191.401,541.687,1,8,16,25036252518864
6,/workspace/dmeyer/data/world_leaders,46968181,7633029,5121,1127236344,85.8306,13446,55431017,140.437,615.748,1,8,16,25036252518864
0,/workspace/dmeyer/data/world_leaders,46968181,6289950,27330,7671684,144.526,94941,49076436,232.696,551.841,1,8,16,25036204561170
9,/workspace/dmeyer/data/world_leaders,46968181,4685140,28146,1127236344,128.459,34498,32818742,218.012,519.937,1,8,16,25036252518864
12,/workspace/dmeyer/data/world_leaders,46968181,7610733,20388,1127236344,113.382,28526,46751125,187.9,541.546,1,8,16,25036252518864
8,/workspace/dmeyer/data/world_leaders,46968181,4781228,5078,1127236344,89.3972,11900,43324912,151.001,596.386,1,8,8,25036252518864
1,/workspace/dmeyer/data/world_leaders,46968181,4685140,5776,1127236344,136.631,12127,32818742,218.734,519.932,1,8,8,25036252518864
4,/workspace/dmeyer/data/world_leaders,46968181,4777497,5282,1127236344,89.5556,12159,43426525,150.435,591.131,1,8,8,25036252518864
5,/workspace/dmeyer/data/world_leaders,46968181,4777497,5169,1127236344,89.551,12035,43426525,149.781,590.698,1,8,8,25036252518864
7,/workspace/dmeyer/data/world_leaders,46968181,7610733,5141,1127236344,116.841,13283,46751125,191.546,538.889,1,8,8,25036252518864
6,/workspace/dmeyer/data/world_leaders,46968181,7633029,5131,1127236344,84.9642,13450,55431017,139.77,611.554,1,8,8,25036252518864
0,/workspace/dmeyer/data/world_leaders,46968181,4203551,28099,9906528,173.05,123025,57542536,267.201,614.565,1,8,8,25036204561170
9,/workspace/dmeyer/data/world_leaders,46968181,4685140,28191,1127236344,130.621,34549,32818742,218.871,523.386,1,8,8,25036252518864
12,/workspace/dmeyer/data/world_leaders,46968181,7610733,20339,1127236344,114.176,28520,46751125,192.273,541.206,1,8,8,25036252518864
