id,text_id,textsize,treesize,constr_time,peak_mem,access_avg,constr_time_rs,treesize_rs,rank_avg,select_avg,s,t,l,result
8,/workspace/dmeyer/data/dblp.xml,296135874,235333066,48212,7107260976,105.056,121897,1331872940,145.394,1802.34,1,8,8,148408144822094
1,/workspace/dmeyer/data/dblp.xml,296135874,235405666,66945,7107260976,157.43,141823,681328102,143.387,1311.49,1,8,8,148408144822094
2,/workspace/dmeyer/data/dblp.xml,296135874,235405666,46446,7107260976,151.585,121332,681328102,146.764,1308.55,1,8,8,148408144822094
4,/workspace/dmeyer/data/dblp.xml,296135874,235333058,49575,7107260976,103.603,122986,1331872932,145.882,1811.15,1,8,8,148408144822094
5,/workspace/dmeyer/data/dblp.xml,296135874,235333058,46339,7107260976,103.464,119762,1331872932,145.411,1811.34,1,8,8,148408144822094
7,/workspace/dmeyer/data/dblp.xml,296135874,296111242,47832,7107260976,85.7106,106054,1356586916,139.004,1757.14,1,8,8,148408144822094
6,/workspace/dmeyer/data/dblp.xml,296135874,296111242,48136,7107260976,90.9194,106188,1356586916,138.852,1756.75,1,8,8,148408144822094
0,/workspace/dmeyer/data/dblp.xml,296135874,206683308,402830,410057220,174.666,369696,206683340,7e-05,2e-05,1,8,8,86858754
9,/workspace/dmeyer/data/dblp.xml,296135874,235405666,351628,7107260976,156.723,424476,681328102,144.699,1304.83,1,8,8,148408144822094
10,/workspace/dmeyer/data/dblp.xml,296135874,235333058,151047,7107260976,105.919,222779,1331872932,144.929,1811.8,9576081,8,8,148408144822094
12,/workspace/dmeyer/data/dblp.xml,296135874,296111242,197137,7107260976,85.2433,253799,1356586916,136.867,1755.18,1,8,8,148408144822094
11,/workspace/dmeyer/data/dblp.xml,296135874,296111242,109354,7107260976,85.3052,165970,1356586916,142.986,1755.97,9576081,8,8,148408144822094
8,/workspace/dmeyer/data/dblp.xml,296135874,124799192,60116,7107260976,299.675,649834,3163157252,320.491,2215.11,1,8,4,148408144822094
1,/workspace/dmeyer/data/dblp.xml,296135874,125100031,79972,7107260976,349.973,662870,2525792261,341.523,1763.64,1,8,4,148408144822094
2,/workspace/dmeyer/data/dblp.xml,296135874,125100031,79871,7107260976,352.994,663141,2525792261,343.057,1754.55,1,8,4,148408144822094
4,/workspace/dmeyer/data/dblp.xml,296135874,125027376,62557,7107260976,293.919,655711,3176337404,321.725,2241.48,1,8,4,148408144822094
5,/workspace/dmeyer/data/dblp.xml,296135874,125027376,76954,7107260976,294.146,670016,3176337404,323.311,2251.36,1,8,4,148408144822094
7,/workspace/dmeyer/data/dblp.xml,296135874,185326378,58239,7107260976,264.549,662467,3513416534,307.13,2138.1,1,8,4,148408144822094
6,/workspace/dmeyer/data/dblp.xml,296135874,185326378,57855,7107260976,260.504,661862,3513416534,307.005,2141,1,8,4,148408144822094
0,/workspace/dmeyer/data/dblp.xml,296135874,151322340,454466,584360724,202.803,427688,151322372,6e-05,3e-05,1,8,4,86858754
9,/workspace/dmeyer/data/dblp.xml,296135874,125100031,433959,7107260976,352.973,1012802,2525792261,344.365,1776.78,1,8,4,148408144822094
10,/workspace/dmeyer/data/dblp.xml,296135874,125027376,233316,7107260976,305.179,821710,3176337404,320.985,2235.93,9576081,8,4,148408144822094
12,/workspace/dmeyer/data/dblp.xml,296135874,185326378,294139,7107260976,279.583,892372,3513416534,308.444,2165.49,1,8,4,148408144822094
11,/workspace/dmeyer/data/dblp.xml,296135874,185326378,206251,7107260976,250.017,806543,3513416534,309.438,2133.33,9576081,8,4,148408144822094
8,/workspace/dmeyer/data/dblp.xml,296135874,115148828,50963,7107260976,275.965,359084,2135721104,271.691,2142.64,1,4,8,148408144822094
1,/workspace/dmeyer/data/dblp.xml,296135874,114702623,80886,7107260976,323.471,391238,1597509893,299.501,1899.52,1,4,8,148408144822094
2,/workspace/dmeyer/data/dblp.xml,296135874,114702623,58252,7107260976,335.339,368681,1597509893,297.087,1898.97,1,4,8,148408144822094
4,/workspace/dmeyer/data/dblp.xml,296135874,114560321,56300,7107260976,297.957,368043,2146773701,276.101,2172.05,1,4,8,148408144822094
5,/workspace/dmeyer/data/dblp.xml,296135874,114560321,56823,7107260976,285.899,368376,2146773701,275.346,2162.78,1,4,8,148408144822094
7,/workspace/dmeyer/data/dblp.xml,296135874,210145037,48411,7107260976,270.926,304179,1721705363,280.332,1772.21,1,4,8,148408144822094
6,/workspace/dmeyer/data/dblp.xml,296135874,209999703,48455,7107260976,215.174,306349,2270884123,256.301,2004.06,1,4,8,148408144822094
0,/workspace/dmeyer/data/dblp.xml,296135874,150540509,615735,372712164,223.14,591076,150540541,6e-05,2e-05,1,4,8,86858754
9,/workspace/dmeyer/data/dblp.xml,296135874,114702623,582149,7107260976,348.011,891178,1597509893,301.206,1905.55,1,4,8,148408144822094
10,/workspace/dmeyer/data/dblp.xml,296135874,114560321,244289,7107260976,282.512,555687,2146773701,273.553,2145.37,9576081,4,8,148408144822094
12,/workspace/dmeyer/data/dblp.xml,296135874,210145037,353697,7107260976,255.014,609579,1721705363,281.059,1793.39,1,4,8,148408144822094
11,/workspace/dmeyer/data/dblp.xml,296135874,209999703,190446,7107260976,217.067,448376,2270884123,254.76,2031.09,9576081,4,8,148408144822094
8,/workspace/dmeyer/data/dblp.xml,296135874,115148828,50999,7107260976,288.761,359168,2135721104,273.561,2156.62,1,4,4,148408144822094
1,/workspace/dmeyer/data/dblp.xml,296135874,114702623,80926,7107260976,351.785,390569,1597509893,301.412,1909.33,1,4,4,148408144822094
2,/workspace/dmeyer/data/dblp.xml,296135874,114702623,58258,7107260976,353.062,367536,1597509893,299.606,1898.48,1,4,4,148408144822094
4,/workspace/dmeyer/data/dblp.xml,296135874,114560321,56306,7107260976,286.436,368068,2146773701,276.873,2164.04,1,4,4,148408144822094
5,/workspace/dmeyer/data/dblp.xml,296135874,114560321,56904,7107260976,283.957,368268,2146773701,276.652,2160.11,1,4,4,148408144822094
7,/workspace/dmeyer/data/dblp.xml,296135874,210145037,48487,7107260976,291.585,304287,1721705363,278.846,1773.14,1,4,4,148408144822094
6,/workspace/dmeyer/data/dblp.xml,296135874,209999703,48971,7107260976,231.607,306806,2270884123,257.112,2012.03,1,4,4,148408144822094
0,/workspace/dmeyer/data/dblp.xml,296135874,106123293,681205,470019720,255.335,662251,106123325,7e-05,2e-05,1,4,4,86858754
9,/workspace/dmeyer/data/dblp.xml,296135874,114702623,581897,7107260976,362.1,890451,1597509893,300.236,1913.47,1,4,4,148408144822094
10,/workspace/dmeyer/data/dblp.xml,296135874,114560321,244245,7107260976,300.199,555878,2146773701,275.562,2156.07,9576081,4,4,148408144822094
12,/workspace/dmeyer/data/dblp.xml,296135874,210145037,353714,7107260976,277.227,609168,1721705363,278.927,1783.52,1,4,4,148408144822094
11,/workspace/dmeyer/data/dblp.xml,296135874,209999703,190404,7107260976,231.411,448362,2270884123,258.591,2025.06,9576081,4,4,148408144822094
8,/workspace/dmeyer/data/dblp.xml,296135874,108322101,49957,7107260976,292.236,400155,2912103897,270.895,2329.81,1,2,8,148408144822094
1,/workspace/dmeyer/data/dblp.xml,296135874,104653705,106714,7107260976,485.787,482392,1623550349,465.695,2081.08,1,2,8,148408144822094
2,/workspace/dmeyer/data/dblp.xml,296135874,104653705,61039,7107260976,504.786,436754,1623550349,454.678,2082.33,1,2,8,148408144822094
4,/workspace/dmeyer/data/dblp.xml,296135874,108070038,57816,7107260976,314.165,411834,2925381506,273.257,2352.88,1,2,8,148408144822094
5,/workspace/dmeyer/data/dblp.xml,296135874,108070038,55590,7107260976,278.771,409246,2925381506,268.705,2348.87,1,2,8,148408144822094
